Day,Story,Story_Hash,Storytelling,Cultural_Exchange,Sexuality,Queer,Gender_Power,Religious_Critique,Storyteller
1,1,1,1,0,0,0,0,1,panfilo
1,3,3,0,1,0,0,0,0,filomena
3,10,30,1,1,1,0,1,1,dioneo
2,7,17,1,1,1,0,1,0,panfilo
2,9,19,1,1,0,1,1,0,filomena
3,6,26,1,0,1,0,0,0,fiammetta
4,2,32,1,0,1,0,0,1,pampinea
2,3,13,0,0,1,1,1,0,pampinea
5,10,50,0,0,1,1,0,0,dioneo
3,1,21,0,0,1,0,1,1,filostrato
7,3,63,1,0,1,0,0,0,elissa
7,7,67,1,0,1,0,1,0,emilia
6,1,51,1,0,0,0,0,0,filomena
7,8,68,1,0,1,0,0,0,neifile
7,4,64,1,0,0,0,1,0,lauretta
8,8,78,1,0,1,0,0,0,fiammetta
1,5,5,0,0,0,0,1,0,fiammetta
